language,digs,multis,word_n,expected_complexity,coordinates
languagegen7index0_1_3.10,1,3.10,3,1.8302030565125849,"(3, 1.8302030565125849)"
languagegen7index1_1_3.64,1,3.64,3,1.9869879216319029,"(3, 1.9869879216319029)"
languagegen7index2_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen7index3_1.32_3,1.32,3,3,1.9853461795961014,"(3, 1.9853461795961014)"
languagegen7index4_1.90_3,1.90,3,3,2.017627455176483,"(3, 2.017627455176483)"
languagegen7index6_2.18_5.47,2.18,5.47,4,6.827632379084093,"(4, 6.827632379084093)"
languagegen7index7_1.2_5,1.2,5,3,1.6488345156702644,"(3, 1.6488345156702644)"
languagegen7index9_2_5.6,2,5.6,3,2.7385559085460387,"(3, 2.7385559085460387)"
languagegen7index10_1.2.74_5.6,1.2.74,5.6,5,1.5059951077053337,"(5, 1.5059951077053337)"
languagegen7index11_1.2_5.6.82,1.2,5.6.82,5,1.498442524413859,"(5, 1.498442524413859)"
languagegen7index12_3_5.2.94,3,5.2.94,4,3.8831995961417114,"(4, 3.8831995961417114)"
languagegen7index13_3_5.2.94.1,3,5.2.94.1,5,1.428440382687873,"(5, 1.428440382687873)"
languagegen7index14_3_5.2.94.1.58,3,5.2.94.1.58,6,1.4063483298537829,"(6, 1.4063483298537829)"
languagegen7index15_10.3_5.94.1.33.20,10.3,5.94.1.33.20,7,1.6679257345959735,"(7, 1.6679257345959735)"
languagegen7index16_10.99_5.2.1.86,10.99,5.2.1.86,6,1.5355689811143238,"(6, 1.5355689811143238)"
languagegen7index17_10.3_5.94.1,10.3,5.94.1,5,1.742898986215909,"(5, 1.742898986215909)"
languagegen7index18_10.3_5.2.94.61,10.3,5.2.94.61,6,3.8303798685317707,"(6, 3.8303798685317707)"
languagegen7index19_10.3_5.2.94.1.46,10.3,5.2.94.1.46,7,1.3620380472811127,"(7, 1.3620380472811127)"
languagegen7index20_10.3.13.85.16_5.2.1,10.3.13.85.16,5.2.1,8,1.3234699752191608,"(8, 1.3234699752191608)"
languagegen7index21_32.10.3.4_5.2.39.47,32.10.3.4,5.2.39.47,8,2.4915337205152874,"(8, 2.4915337205152874)"
languagegen7index22_32.10.3.4.13_5.2.1.39,32.10.3.4.13,5.2.1.39,9,1.2300089172496076,"(9, 1.2300089172496076)"
languagegen7index23_32.10.3.4.86_5.2.1.41,32.10.3.4.86,5.2.1.41,9,1.2565400964422446,"(9, 1.2565400964422446)"
languagegen7index24_80.10_5.94.1.39.72,80.10,5.94.1.39.72,7,1.9844514526418666,"(7, 1.9844514526418666)"
languagegen7index25_80.10.3.4_5.2.1.87,80.10.3.4,5.2.1.87,8,1.282950166069151,"(8, 1.282950166069151)"
languagegen7index26_80.10.3.4.72.62_5.2.94.1,80.10.3.4.72.62,5.2.94.1,10,1.261564737730825,"(10, 1.261564737730825)"
languagegen7index27_57.83.10.3.4.12_2.1.46.42,57.83.10.3.4.12,2.1.46.42,10,1.3269212211711405,"(10, 1.3269212211711405)"
languagegen7index28_57.83.10.3.4.12_2.1.46,57.83.10.3.4.12,2.1.46,9,1.3381040397102435,"(9, 1.3381040397102435)"
