language,digs,multis,word_n,expected_complexity,coordinates
languagegen6index0_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen5index11_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen5index15_1.2_5,1.2,5,3,1.6488345156702644,"(3, 1.6488345156702644)"
languagegen6index14_1.2_5.6,1.2,5.6,4,1.5100182681529848,"(4, 1.5100182681529848)"
languagegen6index21_3_5.2.94.1,3,5.2.94.1,5,1.428440382687873,"(5, 1.428440382687873)"
languagegen5index46_10.3_5.2.94.1,10.3,5.2.94.1,6,1.3803375155245907,"(6, 1.3803375155245907)"
languagegen6index22_10.3.13_5.2.94.1,10.3.13,5.2.94.1,7,1.3431447778945453,"(7, 1.3431447778945453)"
languagegen6index29_32.10.3.4_5.2.1.39,32.10.3.4,5.2.1.39,8,1.2574837431780015,"(8, 1.2574837431780015)"
languagegen6index33_80.10.3.4_5.2.94.1.39,80.10.3.4,5.2.94.1.39,9,1.2516188305238647,"(9, 1.2516188305238647)"
languagegen6index43_57.83.10.3.4.12_5.2.1.46,57.83.10.3.4.12,5.2.1.46,10,1.2320364036938962,"(10, 1.2320364036938962)"
languagegen5index68_57.83.10.3.4.30.12_5.2.1.46,57.83.10.3.4.30.12,5.2.1.46,11,1.2206494124024414,"(11, 1.2206494124024414)"
languagegen6index40_57.83.10.3.4.30.12_5.2.1.46.55,57.83.10.3.4.30.12,5.2.1.46.55,12,1.2178462810331008,"(12, 1.2178462810331008)"
languagegen5index76_80.57.47.10.3.4.76.16.14_5.2.94.1.46,80.57.47.10.3.4.76.16.14,5.2.94.1.46,14,1.2158009797298166,"(14, 1.2158009797298166)"
languagegen5index93_80.45.47.32.10.3.4.78.8.12_5.2.94.1.91,80.45.47.32.10.3.4.78.8.12,5.2.94.1.91,15,1.2029174219990897,"(15, 1.2029174219990897)"
languagegen6index50_80.45.47.32.10.3.4.78.8.12_5.2.94.1.91,80.45.47.32.10.3.4.78.8.12,5.2.94.1.91,15,1.2029174219990897,"(15, 1.2029174219990897)"
languagegen6index54_80.45.47.32.10.3.4.20.49.16.8_5.2.94.1.46,80.45.47.32.10.3.4.20.49.16.8,5.2.94.1.46,16,1.1884409537772609,"(16, 1.1884409537772609)"
languagegen5index100_80.57.45.47.32.10.3.4.20.49.16.8_5.2.94.1.46,80.57.45.47.32.10.3.4.20.49.16.8,5.2.94.1.46,17,1.1869728214468018,"(17, 1.1869728214468018)"
languagegen6index52_80.57.45.47.32.10.3.4.20.49.16.8.51_5.2.94.1.46,80.57.45.47.32.10.3.4.20.49.16.8.51,5.2.94.1.46,18,1.1860669882088364,"(18, 1.1860669882088364)"
languagegen6index56_3.69.6.93.1.36.11.26.78.10.71.80.2.70.5_37.25.4.56,3.69.6.93.1.36.11.26.78.10.71.80.2.70.5,37.25.4.56,19,1.1649175468857997,"(19, 1.1649175468857997)"
languagegen5index123_3.48.69.6.97.93.1.76.36.24.11.26.78.10.80.2.14.5_25.4.7,3.48.69.6.97.93.1.76.36.24.11.26.78.10.80.2.14.5,25.4.7,21,1.1253404375856895,"(21, 1.1253404375856895)"
languagegen6index63_3.48.69.6.97.93.1.76.36.24.11.26.10.80.2.14.5.70_25.4.7.56,3.48.69.6.97.93.1.76.36.24.11.26.10.80.2.14.5.70,25.4.7.56,22,1.119933705452685,"(22, 1.119933705452685)"
languagegen6index66_4.89.67.31.20.1.50.53.80.30.3.78.98.79.22.39.34.99.10.27.83.49.9.7.59.8.17_86.2.5.66.24,4.89.67.31.20.1.50.53.80.30.3.78.98.79.22.39.34.99.10.27.83.49.9.7.59.8.17,86.2.5.66.24,32,1.1179672133808918,"(32, 1.1179672133808918)"
languagegen6index75_40.98.39.21.3.2.17.46.23.44.66.50.83.19.72.29.26.49.4.61.75.51.94.35.13.9.56.8_6.1.5.20.54,40.98.39.21.3.2.17.46.23.44.66.50.83.19.72.29.26.49.4.61.75.51.94.35.13.9.56.8,6.1.5.20.54,33,1.110398321569106,"(33, 1.110398321569106)"
languagegen6index73_40.98.39.21.3.2.17.46.23.66.50.97.83.19.72.29.26.49.4.61.75.51.94.35.13.9.56.8.12_6.1.5.20.54,40.98.39.21.3.2.17.46.23.66.50.97.83.19.72.29.26.49.4.61.75.51.94.35.13.9.56.8.12,6.1.5.20.54,34,1.1018800032257785,"(34, 1.1018800032257785)"
languagegen6index79_40.98.39.41.21.3.2.17.37.46.23.44.66.71.50.97.83.19.29.26.49.4.61.51.94.35.13.9.56.8_6.1.5.7.32,40.98.39.41.21.3.2.17.37.46.23.44.66.71.50.97.83.19.29.26.49.4.61.51.94.35.13.9.56.8,6.1.5.7.32,35,1.085509239494741,"(35, 1.085509239494741)"
languagegen6index78_40.98.39.41.21.3.2.17.37.46.23.44.66.50.97.83.19.72.29.26.49.4.61.51.94.35.13.9.56.8.89_6.1.5.7.20,40.98.39.41.21.3.2.17.37.46.23.44.66.50.97.83.19.72.29.26.49.4.61.51.94.35.13.9.56.8.89,6.1.5.7.20,36,1.0821832047070772,"(36, 1.0821832047070772)"
languagegen6index91_61.45.79.73.2.32.4.50.22.62.29.47.46.19.23.33.71.89.70.1.58.18.77.16.10.8.76.51.5.6.27.98.12.39.43.3.35.30.60.11_78.7.9,61.45.79.73.2.32.4.50.22.62.29.47.46.19.23.33.71.89.70.1.58.18.77.16.10.8.76.51.5.6.27.98.12.39.43.3.35.30.60.11,78.7.9,43,1.0565885634140857,"(43, 1.0565885634140857)"
languagegen5index194_61.45.79.73.2.32.4.50.22.62.29.47.46.19.23.33.71.89.70.1.58.87.18.77.16.10.8.76.51.5.6.27.98.12.39.43.3.35.30.60.11_78.7.9,61.45.79.73.2.32.4.50.22.62.29.47.46.19.23.33.71.89.70.1.58.87.18.77.16.10.8.76.51.5.6.27.98.12.39.43.3.35.30.60.11,78.7.9,44,1.0564269398894959,"(44, 1.0564269398894959)"
languagegen6index1517_61.45.79.73.2.32.4.50.22.62.29.47.46.19.23.33.71.89.70.1.87.18.77.16.10.8.76.51.5.6.27.98.12.36.39.43.3.35.30.60.11.25_7.9.66,61.45.79.73.2.32.4.50.22.62.29.47.46.19.23.33.71.89.70.1.87.18.77.16.10.8.76.51.5.6.27.98.12.36.39.43.3.35.30.60.11.25,7.9.66,45,1.0532162115505717,"(45, 1.0532162115505717)"
languagegen6index95_61.45.79.73.2.32.4.50.22.62.29.47.46.19.23.33.71.89.70.1.58.87.18.77.16.10.8.76.51.5.6.27.98.12.36.39.43.3.35.30.60.11.25_7.9.24,61.45.79.73.2.32.4.50.22.62.29.47.46.19.23.33.71.89.70.1.58.87.18.77.16.10.8.76.51.5.6.27.98.12.36.39.43.3.35.30.60.11.25,7.9.24,46,1.0496243815872246,"(46, 1.0496243815872246)"
languagegen6index100_61.45.79.73.2.32.4.50.22.62.29.47.46.19.14.23.33.71.89.70.1.58.87.18.77.16.10.8.76.51.5.6.27.98.12.97.39.43.3.35.30.80_7.9.11.81.59,61.45.79.73.2.32.4.50.22.62.29.47.46.19.14.23.33.71.89.70.1.58.87.18.77.16.10.8.76.51.5.6.27.98.12.97.39.43.3.35.30.80,7.9.11.81.59,47,1.0468755589692462,"(47, 1.0468755589692462)"
languagegen6index109_94.70.58.48.44.99.4.15.93.7.45.14.1.41.49.59.66.55.3.83.71.18.27.39.76.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10_29.2,94.70.58.48.44.99.4.15.93.7.45.14.1.41.49.59.66.55.3.83.71.18.27.39.76.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10,29.2,49,1.0398178760236738,"(49, 1.0398178760236738)"
languagegen6index105_94.70.58.48.44.99.4.15.7.45.14.1.41.49.59.66.55.3.83.71.18.27.39.91.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10_29.2.65.53,94.70.58.48.44.99.4.15.7.45.14.1.41.49.59.66.55.3.83.71.18.27.39.91.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10,29.2.65.53,50,1.0381192067184404,"(50, 1.0381192067184404)"
languagegen6index106_94.70.58.48.44.99.4.15.7.45.14.1.41.49.59.66.55.3.83.71.18.27.39.91.76.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10_2.65.37.28,94.70.58.48.44.99.4.15.7.45.14.1.41.49.59.66.55.3.83.71.18.27.39.91.76.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10,2.65.37.28,51,1.037121724070842,"(51, 1.037121724070842)"
languagegen6index114_94.70.58.48.44.99.4.15.93.7.45.14.1.41.49.59.55.3.83.71.18.27.39.91.76.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10.82_29.2.79.22,94.70.58.48.44.99.4.15.93.7.45.14.1.41.49.59.55.3.83.71.18.27.39.91.76.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10.82,29.2.79.22,52,1.0355145097564846,"(52, 1.0355145097564846)"
languagegen5index213_94.70.58.48.44.99.4.15.93.7.45.14.1.41.49.59.66.55.3.83.71.18.27.39.91.76.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10.82_29.2.79.22,94.70.58.48.44.99.4.15.93.7.45.14.1.41.49.59.66.55.3.83.71.18.27.39.91.76.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10.82,29.2.79.22,53,1.0352336721858648,"(53, 1.0352336721858648)"
languagegen6index112_94.70.58.48.44.99.4.15.93.7.45.14.1.41.49.59.66.55.3.83.71.18.27.39.91.76.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10.82_29.2.79.22.20,94.70.58.48.44.99.4.15.93.7.45.14.1.41.49.59.66.55.3.83.71.18.27.39.91.76.31.98.5.35.54.51.26.61.36.77.12.78.23.8.19.24.6.63.9.13.11.10.82,29.2.79.22.20,54,1.0321753510418163,"(54, 1.0321753510418163)"
languagegen6index122_17.91.69.83.28.2.80.25.79.4.45.22.19.20.1.9.51.16.41.89.39.97.55.62.27.87.50.98.46.44.72.34.5.12.36.65.32.54.10.85.24.84.6.8.18.3.23.26.67.21.7.15_30.11.75.63,17.91.69.83.28.2.80.25.79.4.45.22.19.20.1.9.51.16.41.89.39.97.55.62.27.87.50.98.46.44.72.34.5.12.36.65.32.54.10.85.24.84.6.8.18.3.23.26.67.21.7.15,30.11.75.63,56,1.0308914678361714,"(56, 1.0308914678361714)"
languagegen5index217_17.91.69.83.28.2.80.25.79.4.45.22.19.20.1.9.51.16.41.89.39.97.55.62.27.87.50.98.46.44.72.34.5.12.36.65.32.52.48.54.10.85.24.84.6.8.18.3.23.26.67.21.7.15_30.11.75,17.91.69.83.28.2.80.25.79.4.45.22.19.20.1.9.51.16.41.89.39.97.55.62.27.87.50.98.46.44.72.34.5.12.36.65.32.52.48.54.10.85.24.84.6.8.18.3.23.26.67.21.7.15,30.11.75,57,1.030216315759602,"(57, 1.030216315759602)"
