"language","word","morphology","extension"
"mnd","word1","1",1
"mnd","word2","2",2
"mnd","word3","3",3
"mnd","word4","4",4
"mnd","word5","5",5
"mnd","word6","6",6
"mnd","word7","7",7
"mnd","word8","8",8
"mnd","word9","9",9
"mnd","word10","10",10
"mnd","word11","10+1",11
"mnd","word12","10+2",12
"mnd","word13","10+3",13
"mnd","word14","10+4",14
"mnd","word15","10+5",15
"mnd","word16","10+6",16
"mnd","word17","10+7",17
"mnd","word18","10+8",18
"mnd","word19","10+9",19
"mnd","word20","2*10",20
"mnd","word30","3*10",30
"mnd","word40","4*10",40
"mnd","word50","5*10",50
"mnd","word60","6*10",60
"mnd","word70","7*10",70
"mnd","word80","8*10",80
"mnd","word90","9*10",90
"mnd","word21","2*10+1",21
"mnd","word22","2*10+2",22
"mnd","word23","2*10+3",23
"mnd","word24","2*10+4",24
"mnd","word25","2*10+5",25
"mnd","word26","2*10+6",26
"mnd","word27","2*10+7",27
"mnd","word28","2*10+8",28
"mnd","word29","2*10+9",29
"mnd","word31","3*10+1",31
"mnd","word32","3*10+2",32
"mnd","word33","3*10+3",33
"mnd","word34","3*10+4",34
"mnd","word35","3*10+5",35
"mnd","word36","3*10+6",36
"mnd","word37","3*10+7",37
"mnd","word38","3*10+8",38
"mnd","word39","3*10+9",39
"mnd","word41","4*10+1",41
"mnd","word42","4*10+2",42
"mnd","word43","4*10+3",43
"mnd","word44","4*10+4",44
"mnd","word45","4*10+5",45
"mnd","word46","4*10+6",46
"mnd","word47","4*10+7",47
"mnd","word48","4*10+8",48
"mnd","word49","4*10+9",49
"mnd","word51","5*10+1",51
"mnd","word52","5*10+2",52
"mnd","word53","5*10+3",53
"mnd","word54","5*10+4",54
"mnd","word55","5*10+5",55
"mnd","word56","5*10+6",56
"mnd","word57","5*10+7",57
"mnd","word58","5*10+8",58
"mnd","word59","5*10+9",59
"mnd","word61","6*10+1",61
"mnd","word62","6*10+2",62
"mnd","word63","6*10+3",63
"mnd","word64","6*10+4",64
"mnd","word65","6*10+5",65
"mnd","word66","6*10+6",66
"mnd","word67","6*10+7",67
"mnd","word68","6*10+8",68
"mnd","word69","6*10+9",69
"mnd","word71","7*10+1",71
"mnd","word72","7*10+2",72
"mnd","word73","7*10+3",73
"mnd","word74","7*10+4",74
"mnd","word75","7*10+5",75
"mnd","word76","7*10+6",76
"mnd","word77","7*10+7",77
"mnd","word78","7*10+8",78
"mnd","word79","7*10+9",79
"mnd","word81","8*10+1",81
"mnd","word82","8*10+2",82
"mnd","word83","8*10+3",83
"mnd","word84","8*10+4",84
"mnd","word85","8*10+5",85
"mnd","word86","8*10+6",86
"mnd","word87","8*10+7",87
"mnd","word88","8*10+8",88
"mnd","word89","8*10+9",89
"mnd","word91","9*10+1",91
"mnd","word92","9*10+2",92
"mnd","word93","9*10+3",93
"mnd","word94","9*10+4",94
"mnd","word95","9*10+5",95
"mnd","word96","9*10+6",96
"mnd","word97","9*10+7",97
"mnd","word98","9*10+8",98
"mnd","word99","9*10+9",99
"aco","word1","1",1
"aco","word2","2",2
"aco","word3","3",3
"aco","word4","4",4
"aco","word5","5",5
"aco","word6","6",6
"aco","word7","7",7
"aco","word8","8",8
"aco","word9","9",9
"aco","word10","10",10
"aco","word11","10+1",11
"aco","word12","10+2",12
"aco","word13","10+3",13
"aco","word14","10+4",14
"aco","word15","10+5",15
"aco","word16","10+6",16
"aco","word17","10+7",17
"aco","word18","10+8",18
"aco","word19","10+9",19
"aco","word20","2*10",20
"aco","word30","3*10",30
"aco","word40","4*10",40
"aco","word50","5*10",50
"aco","word60","6*10",60
"aco","word70","7*10",70
"aco","word80","8*10",80
"aco","word90","9*10",90
"aco","word21","2*10+1",21
"aco","word22","2*10+2",22
"aco","word23","2*10+3",23
"aco","word24","2*10+4",24
"aco","word25","2*10+5",25
"aco","word26","2*10+6",26
"aco","word27","2*10+7",27
"aco","word28","2*10+8",28
"aco","word29","2*10+9",29
"aco","word31","3*10+1",31
"aco","word32","3*10+2",32
"aco","word33","3*10+3",33
"aco","word34","3*10+4",34
"aco","word35","3*10+5",35
"aco","word36","3*10+6",36
"aco","word37","3*10+7",37
"aco","word38","3*10+8",38
"aco","word39","3*10+9",39
"aco","word41","4*10+1",41
"aco","word42","4*10+2",42
"aco","word43","4*10+3",43
"aco","word44","4*10+4",44
"aco","word45","4*10+5",45
"aco","word46","4*10+6",46
"aco","word47","4*10+7",47
"aco","word48","4*10+8",48
"aco","word49","4*10+9",49
"aco","word51","5*10+1",51
"aco","word52","5*10+2",52
"aco","word53","5*10+3",53
"aco","word54","5*10+4",54
"aco","word55","5*10+5",55
"aco","word56","5*10+6",56
"aco","word57","5*10+7",57
"aco","word58","5*10+8",58
"aco","word59","5*10+9",59
"aco","word61","6*10+1",61
"aco","word62","6*10+2",62
"aco","word63","6*10+3",63
"aco","word64","6*10+4",64
"aco","word65","6*10+5",65
"aco","word66","6*10+6",66
"aco","word67","6*10+7",67
"aco","word68","6*10+8",68
"aco","word69","6*10+9",69
"aco","word71","7*10+1",71
"aco","word72","7*10+2",72
"aco","word73","7*10+3",73
"aco","word74","7*10+4",74
"aco","word75","7*10+5",75
"aco","word76","7*10+6",76
"aco","word77","7*10+7",77
"aco","word78","7*10+8",78
"aco","word79","7*10+9",79
"aco","word81","8*10+1",81
"aco","word82","8*10+2",82
"aco","word83","8*10+3",83
"aco","word84","8*10+4",84
"aco","word85","8*10+5",85
"aco","word86","8*10+6",86
"aco","word87","8*10+7",87
"aco","word88","8*10+8",88
"aco","word89","8*10+9",89
"aco","word91","9*10+1",91
"aco","word92","9*10+2",92
"aco","word93","9*10+3",93
"aco","word94","9*10+4",94
"aco","word95","9*10+5",95
"aco","word96","9*10+6",96
"aco","word97","9*10+7",97
"aco","word98","9*10+8",98
"aco","word99","9*10+9",99
"alb","word1","1",1
"alb","word2","2",2
"alb","word3","3",3
"alb","word4","4",4
"alb","word5","5",5
"alb","word6","6",6
"alb","word7","7",7
"alb","word8","8",8
"alb","word9","9",9
"alb","word10","10",10
"alb","word11","10+1",11
"alb","word12","10+2",12
"alb","word13","10+3",13
"alb","word14","10+4",14
"alb","word15","10+5",15
"alb","word16","10+6",16
"alb","word17","10+7",17
"alb","word18","10+8",18
"alb","word19","10+9",19
"alb","word20","2*10",20
"alb","word30","3*10",30
"alb","word40","4*10",40
"alb","word50","5*10",50
"alb","word60","6*10",60
"alb","word70","7*10",70
"alb","word80","8*10",80
"alb","word90","9*10",90
"alb","word21","2*10+1",21
"alb","word22","2*10+2",22
"alb","word23","2*10+3",23
"alb","word24","2*10+4",24
"alb","word25","2*10+5",25
"alb","word26","2*10+6",26
"alb","word27","2*10+7",27
"alb","word28","2*10+8",28
"alb","word29","2*10+9",29
"alb","word31","3*10+1",31
"alb","word32","3*10+2",32
"alb","word33","3*10+3",33
"alb","word34","3*10+4",34
"alb","word35","3*10+5",35
"alb","word36","3*10+6",36
"alb","word37","3*10+7",37
"alb","word38","3*10+8",38
"alb","word39","3*10+9",39
"alb","word41","4*10+1",41
"alb","word42","4*10+2",42
"alb","word43","4*10+3",43
"alb","word44","4*10+4",44
"alb","word45","4*10+5",45
"alb","word46","4*10+6",46
"alb","word47","4*10+7",47
"alb","word48","4*10+8",48
"alb","word49","4*10+9",49
"alb","word51","5*10+1",51
"alb","word52","5*10+2",52
"alb","word53","5*10+3",53
"alb","word54","5*10+4",54
"alb","word55","5*10+5",55
"alb","word56","5*10+6",56
"alb","word57","5*10+7",57
"alb","word58","5*10+8",58
"alb","word59","5*10+9",59
"alb","word61","6*10+1",61
"alb","word62","6*10+2",62
"alb","word63","6*10+3",63
"alb","word64","6*10+4",64
"alb","word65","6*10+5",65
"alb","word66","6*10+6",66
"alb","word67","6*10+7",67
"alb","word68","6*10+8",68
"alb","word69","6*10+9",69
"alb","word71","7*10+1",71
"alb","word72","7*10+2",72
"alb","word73","7*10+3",73
